feature,gain,split
town_Eckernförde,0.0,0
town_Ellenberg,0.0,0
town_Elmshorn Mitte,0.0,0
town_Emmelsbüll Ost,0.0,0
town_Glückstadt,0.0,0
town_Eutin Süd,0.0,0
town_Felde,0.0,0
town_Friedrichstadt,0.0,0
town_Geesthacht Ost,0.0,0
town_Geesthacht West,0.0,0
town_Gettorf,0.0,0
town_Glinde,0.0,0
town_Wöhrden Ost,0.0,0
