feature,gain,split
active_7d_lag24,5356561.470703125,42
wind_onshore,4559518.657470703,72
lat,2534494.5056152344,104
wind_offshore,1180026.232421875,71
lon,1028921.1030273438,94
active_24h_lag24,897177.2614746094,29
dow,774150.9499511719,79
month,700794.62109375,130
wx_wind_direction_100m,634658.8273925781,101
wx_wind_speed_100m,616960.8310546875,29
wx_temperature_2m,603281.1228027344,86
wx_wind_gusts_10m,329814.1301269531,31
town_St. Peter,270131.310546875,19
residual_load,175498.13012695312,27
wx_wind_speed_10m,167249.92041015625,26
total_load,136452.81201171875,24
town_Str?bbel,130407.94091796875,18
town_110kV Reußenköge (Privat),112074.5888671875,16
town_Uelvesbüll,111034.74975585938,15
solar,91242.58056640625,18
is_weekend,79771.31884765625,8
town_Lübke Koog Ost,79108.44067382812,10
wx_cloud_cover,76122.70971679688,13
town_Niendorf,62649.609375,9
town_Ostermoor West,58940.85009765625,6
town_Wattenbek,52142.60986328125,7
town_Hademarschen,45306.689453125,6
town_110kV Dörpum 1 (Privat),37190.75927734375,5
town_Brachenfeld,34289.39013671875,5
hour,30393.240234375,6
town_Hemme Ost,29301.33984375,6
town_Lübke Koog West,27433.949951171875,4
town_Itzehoe Mitte,22791.670166015625,5
town_Quickborn,21197.4404296875,3
day_ahead,19748.859619140625,5
town_Krogaspe,19615.179931640625,3
is_de_holiday,16938.19970703125,4
town_110kV Weesby (Privat),16335.35009765625,3
town_Wahlstedt Neu,15859.85009765625,3
town_Neumünster Ost,14301.73974609375,3
town_Goosefeld,12687.1201171875,2
town_Holm,10021.0,2
town_Niebüll,9808.570068359375,2
town_110kV Großenwiehe (Privat),9617.43994140625,2
town_Gravelund,9416.31005859375,2
town_Bollingstedt Süd,9327.25,2
town_Ahrenviöl,7034.25,1
town_Lütjenbrode,6945.659912109375,2
town_Arkebek,5318.240234375,1
wx_shortwave_radiation,5301.240234375,1
town_Brokstedt,4736.64990234375,1
wx_precipitation,4713.97021484375,1
town_Rendsburg Mitte,4562.35986328125,1
town_Kropp,4487.0,1
town_Willinghusen,3923.52001953125,1
town_Quickborn Ost,3915.159912109375,1
town_BOSA,3817.6298828125,1
town_Schenefeld HH,3584.530029296875,1
town_Elmshorn Ost,3316.56005859375,1
town_Bramstedt,3242.389892578125,1
town_110kV Kamp (Privat),3214.989990234375,1
town_110kV Ostermoor-Ost (Privat),3181.27001953125,1
town_Bramstedt Süd,3100.8701171875,1
town_Uetersen W,3090.330078125,1
town_Linden,2916.22998046875,1
town_110kV Hemme-Ost (Privat),2678.3701171875,1
town_Neumünster West,0.0,0
town_Weesby,0.0,0
town_Weißenhaus,0.0,0
town_Neumünster Süd,0.0,0
town_Nortorf,0.0,0
town_Neumünster Nord,0.0,0
town_Marne West,0.0,0
town_Neumünster Mitte,0.0,0
town_Mölln West,0.0,0
town_Meldorf,0.0,0
town_Wöhrden,0.0,0
town_Oldenborstel,0.0,0
town_Lütjenburg,0.0,0
town_Löwenstedt,0.0,0
town_Lindewitt Nord,0.0,0
town_Lindewitt,0.0,0
town_Lensahn,0.0,0
town_Lauenburg,0.0,0
town_Langenhorn,0.0,0
town_Krüzen West,0.0,0
town_Nortorf Steinburg,0.0,0
town_Reinsbüttel,0.0,0
town_Oldersbek,0.0,0
town_Klixbüll,0.0,0
town_Vollstedt,0.0,0
town_Tönning,0.0,0
town_Trenter Berg,0.0,0
town_Toftum,0.0,0
town_W,0.0,0
town_Tarp,0.0,0
town_Süderdeich,0.0,0
town_Süderbrarup,0.0,0
town_Strübbel,0.0,0
town_Struxdorf,0.0,0
town_Stolpe,0.0,0
town_Steinburg,0.0,0
town_Wahlstedt,0.0,0
town_Soholm,0.0,0
town_Sieverstedt Süd,0.0,0
town_Weding,0.0,0
town_Schwensby,0.0,0
town_Schwarzenbek,0.0,0
town_Schuby West,0.0,0
town_Schuby,0.0,0
town_Schobüll,0.0,0
town_Scharbeutz,0.0,0
town_Schacht,0.0,0
town_Rogerfelde,0.0,0
town_Rendsburg Nord,0.0,0
town_Uetersen West,0.0,0
town_Quickborn/Dithmarschen,0.0,0
town_Quickborn D.,0.0,0
town_Wedel Nord,0.0,0
town_Pinneberg Mitte,0.0,0
town_Sillerup,0.0,0
town_Heede,0.0,0
town_Katenstedt,0.0,0
town_Bargteheide,0.0,0
town_110kV Weding,0.0,0
town_110kV Weseby (Privat),0.0,0
town_Ahrensburg Nord,0.0,0
town_Bad Bramstedt,0.0,0
town_Bad Bramstedt Alt,0.0,0
town_Bad Segeberg,0.0,0
town_Bahrenkrug,0.0,0
town_Barlt,0.0,0
town_Kaltenkirchen Süd,0.0,0
town_Bisdorf,0.0,0
town_Bokhorst,0.0,0
